WardNum,WardName,Zone,Assigned Monitoring Station,UID,Dist (km)
1,NARELA,Narela,"Narela, Delhi, Delhi, India",10706,4.69
2,BANKNER,Narela,"Narela, Delhi, Delhi, India",10706,4.06
3,HOLAMBI KALAN,Narela,"Narela, Delhi, Delhi, India",10706,1.17
4,ALIPUR,Narela,"Narela, Delhi, Delhi, India",10706,2.76
5,BAKHTAWARPUR,Narela,"Alipur, Delhi, Delhi, India",11266,2.36
6,BURARI,Civil Line,"Burari Crossing, Delhi, Delhi, India",10125,4.79
7,KADIPUR,Civil Line,"Alipur, Delhi, Delhi, India",11266,4.65
8,MUKUNDPUR,Civil Line,"ITI Jahangirpuri, Delhi, Delhi, India",10113,1.18
9,SANT NAGAR,Civil Line,"ITI Jahangirpuri, Delhi, Delhi, India",10113,2.41
10,JHARODA,Civil Line,"Burari Crossing, Delhi, Delhi, India",10125,2.11
11,TIMARPUR,Civil Line,Sonia Vihar Water Treatment Plant DJB,10121,2.33
12,MALKA GANJ,Civil Line,"Satyawati College, Delhi, Delhi, India",10115,3.1
13,MUKHERJEE NAGAR,Civil Line,"Burari Crossing, Delhi, Delhi, India",10125,2.23
14,DHIRPUR,Civil Line,"Burari Crossing, Delhi, Delhi, India",10125,1.14
15,ADARSH NAGAR,Civil Line,"ITI Jahangirpuri, Delhi, Delhi, India",10113,1.39
16,AZADPUR,Civil Line,"ITI Jahangirpuri, Delhi, Delhi, India",10113,1.13
17,BHALSWA,Civil Line,"ITI Jahangirpuri, Delhi, Delhi, India",10113,0.31
18,JAHANGIR PURI,Civil Line,"ITI Jahangirpuri, Delhi, Delhi, India",10113,1.38
19,SARUP NAGAR,Civil Line,"ITI Jahangirpuri, Delhi, Delhi, India",10113,3.34
20,SAMAYPUR BADLI,Civil Line,"DTU, Delhi, Delhi, India",9290,2.52
21,ROHINI-A,Rohini,"SSCBS, Rohini, Delhi, Delhi, India",10117,0.67
22,ROHINI-B,Rohini,"SSCBS, Rohini, Delhi, Delhi, India",10117,1.3
23,RITHALA,Rohini,"SSCBS, Rohini, Delhi, Delhi, India",10117,2.01
24,VIJAY VIHAR,Rohini,"SSCBS, Rohini, Delhi, Delhi, India",10117,3.48
25,BUDH VIHAR,Rohini,"SSCBS, Rohini, Delhi, Delhi, India",10117,3.9
26,POOTH KALAN,Narela,"SSCBS, Rohini, Delhi, Delhi, India",10117,4.95
27,BEGUMPUR,Narela,"SSCBS, Rohini, Delhi, Delhi, India",10117,4.46
28,SHAHBAAD DAIRY,Narela,"DTU, Delhi, Delhi, India",9290,2.42
29,POOTH KHURD,Narela,"Pooth Khurd, Bawana, Delhi, Delhi, India",11267,2.44
30,BAWANA,Narela,"Pooth Khurd, Bawana, Delhi, Delhi, India",11267,3.42
31,NANGAL THAKRAN,Narela,"Pooth Khurd, Bawana, Delhi, Delhi, India",11267,5.7
32,KANJHAWALA,Narela,"Pooth Khurd, Bawana, Delhi, Delhi, India",11267,7.24
33,RANI KHERA,Narela,"Mundka, Delhi, Delhi, India",10708,3.75
34,NANGLOI,Narela,"Mundka, Delhi, Delhi, India",10708,3.44
35,MUNDKA,Narela,"Mundka, Delhi, Delhi, India",10708,3.65
36,NILOTHI,Narela,"Mundka, Delhi, Delhi, India",10708,3.97
37,KIRARI,Rohini,"Mundka, Delhi, Delhi, India",10708,3.3
38,PREM NAGAR,Rohini,"Mundka, Delhi, Delhi, India",10708,2.41
39,MUBARIKPUR,Rohini,"Mundka, Delhi, Delhi, India",10708,1.95
40,NITHARI,Rohini,"Mundka, Delhi, Delhi, India",10708,3.51
41,AMAN VIHAR,Rohini,"Mundka, Delhi, Delhi, India",10708,4.13
42,MANGOL PURI,Rohini,"Punjabi Bagh, Delhi, Delhi, India",2555,4.8
43,SULTANPURI-A,Rohini,"Mundka, Delhi, Delhi, India",10708,4.67
44,SULTANPURI-B,Rohini,"Mundka, Delhi, Delhi, India",10708,4.01
45,JAWALAPURI,Rohini,"Punjabi Bagh, Delhi, Delhi, India",2555,4.02
46,NANGLOI JAT,Rohini,"Mundka, Delhi, Delhi, India",10708,3.57
47,NIHAL VIHAR,Rohini,"Mundka, Delhi, Delhi, India",10708,3.95
48,GURU HARKISHAN NAGAR,Rohini,"Punjabi Bagh, Delhi, Delhi, India",2555,2.98
49,MANGOLPURI-A,Rohini,"Punjabi Bagh, Delhi, Delhi, India",2555,4.05
50,MANGOLPURI-B,Rohini,"Punjabi Bagh, Delhi, Delhi, India",2555,3.41
51,ROHINI-C,Rohini,"SSCBS, Rohini, Delhi",10117,3.66
52,ROHINI-F,Rohini,"SSCBS, Rohini, Delhi",10117,2.4
53,ROHINI-E,Rohini,"SSCBS, Rohini, Delhi",10117,2.54
54,ROHINI-D,Rohini,"SSCBS, Rohini, Delhi",10117,1.49
55,SHALIMAR BAGH-A,Keshavpuram,"ITI Jahangirpuri, Delhi",10113,2.38
56,SHALIMAR BAGH-B,Keshavpuram,"DITE Wazirpur, Delhi",10114,1.08
57,PITAM PURA,Keshavpuram,"DITE Wazirpur, Delhi",10114,2.12
58,SARASWATI VIHAR,Keshavpuram,"Punjabi Bagh, Delhi",2555,2.21
59,PASCHIM VIHAR,Keshavpuram,"Punjabi Bagh, Delhi",2555,1.29
60,RANI BAGH,Keshavpuram,"Punjabi Bagh, Delhi",2555,1.71
61,KOHAT ENCLAVE,Keshavpuram,"DITE Wazirpur, Delhi",10114,2.98
62,SHAKUR PUR,Keshavpuram,"DITE Wazirpur, Delhi",10114,2.62
63,TRI NAGAR,Keshavpuram,"DITE Wazirpur, Delhi",10114,2.67
64,KESHAV PURAM,Keshavpuram,"DITE Wazirpur, Delhi",10114,1.03
65,ASHOK VIHAR,Keshavpuram,"Satyawati College, Delhi",10115,0.8
66,WAZIR PUR,Keshavpuram,"Satyawati College, Delhi",10115,1.25
67,SANGAM PARK,Keshavpuram,"Satyawati College, Delhi",10115,0.33
68,MODEL TOWN,Keshavpuram,"Satyawati College, Delhi",10115,1.14
69,KAMLA NAGAR,Keshavpuram,"Satyawati College, Delhi",10115,2.3
70,SHASTRI NAGAR,City S.P.Zone,"Satyawati College, Delhi",10115,2.48
71,KISHAN GANJ,City S.P.Zone,"Shadipur, Delhi",8179,2.82
72,SADAR BAZAR,City S.P.Zone,"Mandir Marg, Delhi",2554,3.41
73,CIVIL LINES,City S.P.Zone,"Sonia Vihar WTP, Delhi",10121,4.09
74,CHANDNI CHOWK,City S.P.Zone,"ITO, Delhi",3715,3.36
75,JAMA MASJID,City S.P.Zone,"ITO, Delhi",3715,2.3
76,CHANDANI MAHAL,City S.P.Zone,"ITO, Delhi",3715,1.64
77,DELHI GATE,City S.P.Zone,"ITO, Delhi",3715,1.35
78,BAZAR SITA RAM,City S.P.Zone,"ITO, Delhi",3715,2.51
79,BALLIMARAN,City S.P.Zone,"Mandir Marg, Delhi",2554,2.92
80,RAM NAGAR,City S.P.Zone,"Mandir Marg, Delhi",2554,2.18
81,QURAISH NAGAR,City S.P.Zone,"Mandir Marg, Delhi",2554,2.69
82,PAHAR GANJ,Karolbagh,"Mandir Marg, Delhi",2554,1.42
83,KAROL BAGH,Karolbagh,"Mandir Marg, Delhi",2554,2.51
84,DEV NAGAR,Karolbagh,"Pusa, Delhi",10124,1.97
85,WEST PATEL NAGAR,Karolbagh,"Shadipur, Delhi",8179,1.59
86,EAST PATEL NAGAR,Karolbagh,"Shadipur, Delhi",8179,1.29
87,RANJEET NAGAR,Karolbagh,"Shadipur, Delhi",8179,0.55
88,BALJEET NAGAR,Karolbagh,"Shadipur, Delhi",8179,0.76
89,KARAM PURA,Karolbagh,"Shadipur, Delhi",8179,1.72
90,MOTI NAGAR,Karolbagh,"Shadipur, Delhi",8179,1.73
91,RAMESH NAGAR,Karolbagh,"Shadipur, Delhi",8179,2.48
92,PUNJABI BAGH,West Zone,"Punjabi Bagh, Delhi",2555,1.22
93,MADIPUR,West Zone,"Punjabi Bagh, Delhi",2555,0.42
94,RAGHUBIR NAGAR,West Zone,"Punjabi Bagh, Delhi",2555,1.57
95,VISHNU GARDEN,West Zone,"Punjabi Bagh, Delhi",2555,2.08
96,RAJOURI GARDEN,West Zone,"Punjabi Bagh, Delhi",2555,2.67
97,CHAUKHANDI NAGAR,West Zone,"Punjabi Bagh, Delhi",2555,3.03
98,SUBHASH NAGAR,West Zone,"Punjabi Bagh, Delhi",2555,3.9
99,HARI NAGAR,West Zone,"Punjabi Bagh, Delhi",2555,5.5
100,FATEH NAGAR,West Zone,"Punjabi Bagh, Delhi",2555,4.87
Ward #,Ward Name,Zone,Assigned Monitoring Station,UID,Dist (km)
101,TILAK NAGAR,West Zone,"Punjabi Bagh, Delhi",2555,3.86
102,KHYALA,West Zone,"Punjabi Bagh, Delhi",2555,3.57
103,KESHOPUR,West Zone,"Punjabi Bagh, Delhi",2555,5.16
104,JANAK PURI SOUTH,West Zone,"NIMR Dwarka Sector 8, Delhi",10119,4.89
105,MAHAVEER ENCLAVE,West Zone,"NIMR Dwarka Sector 8, Delhi",10119,3.82
106,JANAK PURI WEST,West Zone,"NIMR Dwarka Sector 8, Delhi",10119,5.10
107,VIKAS PURI,West Zone,"Punjabi Bagh, Delhi",2555,5.90
108,HASTSAL,West Zone,"Mundka, Delhi",10708,6.14
109,VIKAS NAGAR,West Zone,"Mundka, Delhi",10708,4.49
110,KUNWAR SINGH NAGAR,West Zone,"Mundka, Delhi",10708,3.13
111,BAPROLA,West Zone,"Mundka, Delhi",10708,4.83
112,SAINIK ENCLAVE,West Zone,"Mundka, Delhi",10708,4.85
